GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Salary
2.81,Lower-tier,Business,Northeast,2,5,0,Medium,LinkedIn,1,7,2,1,79092.0
3.47,Lower-tier,Business,South,2,0,0,Large,LinkedIn,3,7,2,2,102934.0
2.88,Lower-tier,Business,Northeast,2,1,3,Medium,Indeed,7,113,4,3,57004.0
3.38,Mid-tier,Healthcare,West,0,3,6,Large,Handshake,3,7,2,2,49627.0
2.89,Top-tier,Humanities,Midwest,2,0,2,Large,Indeed,4,50,3,3,63820.0
2.55,Lower-tier,STEM,South,1,2,2,Large,Handshake,5,16,2,1,75277.0
3.47,Lower-tier,Business,Northeast,1,2,1,Medium,LinkedIn,4,40,2,2,69274.0
3.36,Mid-tier,Healthcare,West,1,2,3,Large,LinkedIn,7,75,4,3,70970.0
3.26,Mid-tier,STEM,South,0,2,3,Large,Indeed,1,7,2,2,76599.0
3.23,Mid-tier,Business,Midwest,0,2,3,Medium,Handshake,3,24,2,2,63353.0
3.8,Mid-tier,STEM,West,3,2,1,Medium,Indeed,4,56,3,2,87792.0
3.22,Mid-tier,Healthcare,Northeast,2,2,4,Large,Indeed,9,129,6,6,69063.0
2.79,Mid-tier,Business,Northeast,3,1,3,Medium,LinkedIn,12,106,4,1,81605.0
3.3,Mid-tier,STEM,South,4,5,3,Medium,LinkedIn,7,103,3,2,95647.0
3.77,Lower-tier,Business,South,1,5,3,Medium,LinkedIn,2,29,2,1,77502.0
3.64,Mid-tier,Humanities,Northeast,0,3,2,Medium,Indeed,4,77,2,2,63336.0
3.24,Mid-tier,Business,Northeast,1,0,1,Large,Handshake,8,45,3,2,64728.0
3.31,Mid-tier,Business,South,2,2,4,Medium,LinkedIn,1,8,2,2,81568.0
2.96,Lower-tier,STEM,Northeast,2,1,4,Medium,Indeed,11,126,2,2,68212.0
3.09,Mid-tier,STEM,South,2,3,5,Large,LinkedIn,12,76,2,2,110236.0
3.21,Lower-tier,Business,Midwest,2,1,1,Small,Handshake,11,20,2,2,68711.0
3.94,Mid-tier,Healthcare,Northeast,0,1,4,Large,Indeed,5,59,2,1,43803.0
3.23,Lower-tier,Business,West,2,0,5,Small,Handshake,2,10,2,1,72385.0
2.62,Mid-tier,Healthcare,West,3,2,5,Large,LinkedIn,10,135,2,1,63670.0
3.52,Mid-tier,Healthcare,South,2,0,5,Large,LinkedIn,12,86,2,1,73486.0
2.84,Mid-tier,Humanities,West,0,3,0,Small,Handshake,4,30,2,1,54991.0
3.54,Mid-tier,Business,Northeast,0,1,1,Large,LinkedIn,7,65,2,2,86676.0
3.54,Mid-tier,STEM,Midwest,3,1,3,Large,LinkedIn,6,52,3,1,98190.0
4.0,Lower-tier,STEM,West,1,1,4,Large,LinkedIn,5,72,4,1,95463.0
2.44,Top-tier,Healthcare,South,0,1,2,Medium,Indeed,11,161,4,1,52300.0
2.64,Top-tier,STEM,South,2,2,7,Large,Handshake,10,25,2,2,96683.0
3.0,Lower-tier,Humanities,Northeast,0,4,1,Medium,LinkedIn,2,27,2,2,71679.0
2.94,Mid-tier,Healthcare,Northeast,2,2,2,Large,Handshake,2,15,2,1,58528.0
2.66,Mid-tier,STEM,Northeast,2,2,1,Medium,Handshake,1,5,2,1,92755.0
3.53,Mid-tier,Humanities,Midwest,0,2,4,Medium,Handshake,4,8,2,2,53069.0
3.9,Top-tier,Healthcare,Northeast,1,1,1,Large,LinkedIn,8,44,2,2,77762.0
3.25,Mid-tier,Humanities,South,1,3,4,Medium,LinkedIn,4,34,2,2,65988.0
3.33,Lower-tier,STEM,Northeast,1,2,5,Small,Handshake,8,66,3,2,68348.0
3.62,Mid-tier,Business,Northeast,2,4,4,Large,LinkedIn,6,97,4,2,94021.0
2.58,Lower-tier,Healthcare,Northeast,2,3,2,Medium,Indeed,11,104,2,2,48625.0
3.26,Mid-tier,STEM,Midwest,3,2,2,Large,LinkedIn,10,61,4,1,103426.0
3.38,Top-tier,Business,Northeast,3,5,1,Medium,Handshake,7,40,2,1,86289.0
2.57,Top-tier,Healthcare,Northeast,1,3,1,Medium,Handshake,8,65,2,2,85971.0
2.92,Mid-tier,Humanities,South,3,2,1,Large,LinkedIn,4,26,2,1,76157.0
2.99,Top-tier,STEM,West,3,4,5,Small,Indeed,7,124,6,4,69681.0
3.2,Lower-tier,Business,South,1,1,5,Large,Handshake,3,18,2,1,76312.0
3.14,Lower-tier,STEM,Midwest,0,4,3,Small,LinkedIn,5,31,2,1,72597.0
3.35,Lower-tier,Healthcare,West,1,0,4,Medium,Handshake,9,61,2,2,57050.0
3.12,Mid-tier,Business,Midwest,2,1,4,Large,LinkedIn,11,80,2,1,78653.0
3.65,Mid-tier,Humanities,South,2,2,4,Large,Indeed,3,45,3,2,48848.0
3.12,Mid-tier,Humanities,South,0,0,3,Large,Indeed,3,51,3,1,48726.0
2.83,Lower-tier,Healthcare,South,0,3,1,Medium,Handshake,11,38,2,1,61758.0
2.76,Top-tier,Business,West,3,3,3,Medium,Handshake,7,5,2,1,91132.0
2.99,Lower-tier,Humanities,South,2,2,0,Large,Handshake,6,26,2,2,53171.0
3.45,Mid-tier,Humanities,Northeast,1,1,4,Small,Indeed,7,131,6,6,49332.0
3.72,Mid-tier,STEM,Midwest,0,1,5,Large,LinkedIn,7,66,4,2,85128.0
3.22,Mid-tier,Humanities,Northeast,2,0,2,Large,Handshake,1,5,2,2,48917.0
2.99,Top-tier,STEM,Northeast,4,1,4,Large,LinkedIn,6,34,2,2,114161.0
2.41,Top-tier,Business,South,3,1,5,Large,LinkedIn,4,47,2,1,71751.0
3.37,Lower-tier,Healthcare,West,4,3,2,Small,Indeed,4,68,2,2,55251.0
3.47,Mid-tier,Humanities,West,2,2,6,Large,LinkedIn,9,103,4,2,72350.0
3.57,Top-tier,STEM,South,4,4,4,Large,LinkedIn,12,104,2,2,114202.0
3.39,Lower-tier,Business,Northeast,1,1,7,Medium,Handshake,11,44,2,1,81848.0
3.38,Lower-tier,Business,South,3,2,1,Small,Indeed,4,49,3,2,72164.0
2.57,Mid-tier,STEM,Northeast,4,1,4,Large,Handshake,4,18,2,2,88484.0
2.74,Mid-tier,Humanities,Midwest,4,2,4,Small,Handshake,11,69,2,2,67949.0
2.89,Top-tier,Healthcare,Midwest,3,2,2,Large,LinkedIn,7,78,3,3,85203.0
3.3,Mid-tier,STEM,West,0,2,1,Large,LinkedIn,7,30,2,2,91664.0
3.08,Lower-tier,Healthcare,Midwest,1,1,4,Large,LinkedIn,3,32,2,1,65259.0
3.39,Mid-tier,Healthcare,Northeast,0,1,6,Large,Indeed,7,71,3,1,42649.0
3.3,Mid-tier,STEM,Midwest,3,3,3,Large,LinkedIn,6,27,2,2,100211.0
3.15,Lower-tier,Humanities,South,0,5,5,Small,Handshake,12,38,2,1,57133.0
3.51,Mid-tier,Arts,South,0,2,2,Medium,Indeed,4,90,5,4,48065.0
3.5,Lower-tier,Healthcare,South,1,1,4,Medium,Handshake,4,26,2,1,74538.0
3.04,Mid-tier,Business,Midwest,2,3,3,Medium,LinkedIn,8,86,4,2,81974.0
3.92,Lower-tier,Business,Midwest,0,1,2,Large,Handshake,12,82,4,4,67009.0
3.63,Mid-tier,Business,South,4,3,4,Small,Indeed,7,91,5,4,72680.0
2.35,Mid-tier,STEM,Northeast,0,1,2,Medium,Handshake,6,29,2,2,81950.0
3.2,Mid-tier,Business,South,1,2,3,Medium,Handshake,8,76,3,1,75189.0
3.4,Lower-tier,Business,Northeast,0,2,6,Large,Handshake,12,78,2,1,76483.0
3.64,Mid-tier,Humanities,West,0,2,2,Large,Handshake,11,56,2,2,65715.0
4.0,Lower-tier,STEM,West,3,4,4,Large,Handshake,2,24,2,2,106671.0
3.23,Lower-tier,STEM,Midwest,1,2,3,Small,Handshake,7,35,2,1,80244.0
3.85,Mid-tier,Business,Northeast,2,1,2,Small,LinkedIn,6,28,2,2,69104.0
3.3,Top-tier,Humanities,Midwest,3,2,4,Large,LinkedIn,4,34,2,2,80007.0
3.26,Lower-tier,STEM,South,1,2,2,Medium,Indeed,6,96,2,2,66471.0
3.57,Lower-tier,STEM,South,0,2,4,Medium,Handshake,2,5,2,1,91820.0
2.85,Lower-tier,Healthcare,South,0,2,2,Large,LinkedIn,7,107,4,3,59992.0
2.99,Lower-tier,Business,Northeast,3,6,4,Medium,LinkedIn,10,81,3,3,85822.0
3.18,Mid-tier,Humanities,Northeast,2,0,5,Medium,Indeed,7,88,2,2,63329.0
3.1,Lower-tier,Arts,Northeast,2,3,4,Medium,LinkedIn,12,94,2,2,77754.0
2.67,Top-tier,Business,South,1,0,8,Medium,Handshake,6,31,2,2,78330.0
3.68,Lower-tier,Business,West,3,1,3,Medium,LinkedIn,9,102,3,3,95158.0
2.5,Mid-tier,STEM,West,2,4,3,Large,LinkedIn,12,116,6,3,91268.0
3.77,Lower-tier,Arts,South,2,3,3,Large,LinkedIn,10,80,2,1,86461.0
3.46,Lower-tier,Humanities,West,1,2,3,Small,Handshake,9,24,2,1,84584.0
2.79,Mid-tier,Business,Midwest,3,1,3,Large,LinkedIn,3,28,2,2,75505.0
3.11,Lower-tier,Business,Midwest,2,0,3,Medium,LinkedIn,11,102,6,6,79864.0
2.66,Lower-tier,Business,South,0,2,2,Medium,LinkedIn,9,66,2,2,73074.0
3.63,Mid-tier,Business,South,1,2,2,Large,Handshake,3,7,2,2,85618.0
3.48,Lower-tier,Healthcare,Northeast,0,4,3,Medium,Handshake,4,26,2,2,64108.0
4.0,Lower-tier,Business,South,2,2,3,Large,LinkedIn,5,48,2,1,91577.0
3.76,Mid-tier,STEM,South,2,1,3,Medium,LinkedIn,10,5,2,1,101848.0
3.41,Mid-tier,STEM,Midwest,0,2,4,Medium,Indeed,10,213,8,8,80883.0
3.7,Mid-tier,Humanities,South,2,1,0,Medium,Handshake,5,41,2,2,64724.0
3.34,Top-tier,Humanities,Northeast,1,4,2,Large,LinkedIn,11,106,2,2,78563.0
3.48,Mid-tier,STEM,West,2,2,0,Large,Handshake,11,34,2,2,72659.0
3.55,Mid-tier,Arts,Northeast,3,1,3,Medium,Handshake,5,34,2,1,87823.0
2.91,Top-tier,STEM,West,3,3,1,Large,LinkedIn,6,13,2,2,95411.0
3.2,Top-tier,Healthcare,South,3,1,5,Large,LinkedIn,10,63,2,1,88691.0
3.25,Lower-tier,Business,West,0,0,1,Medium,Handshake,7,46,3,2,59258.0
2.93,Mid-tier,STEM,South,0,3,4,Large,Indeed,10,98,3,3,68975.0
3.71,Mid-tier,Humanities,Midwest,0,1,5,Large,Handshake,5,23,2,1,57441.0
3.47,Mid-tier,STEM,Midwest,0,1,3,Small,Handshake,1,7,2,2,79782.0
3.15,Mid-tier,STEM,West,0,4,3,Medium,Indeed,2,24,2,1,62621.0
3.49,Lower-tier,Humanities,Northeast,4,4,3,Small,Handshake,3,5,2,1,77123.0
2.88,Top-tier,STEM,South,1,1,2,Medium,LinkedIn,12,146,2,1,83465.0
2.98,Lower-tier,Business,Midwest,1,2,3,Large,Handshake,11,60,2,2,64468.0
3.3,Lower-tier,STEM,West,3,2,3,Small,Handshake,12,62,3,2,82361.0
3.14,Lower-tier,Business,West,1,1,1,Medium,LinkedIn,5,25,2,2,90215.0
3.23,Mid-tier,Humanities,Midwest,0,4,7,Large,Indeed,5,45,3,2,54841.0
2.86,Top-tier,Humanities,West,1,2,4,Medium,LinkedIn,4,27,2,2,86240.0
3.85,Mid-tier,Business,South,4,0,2,Large,LinkedIn,11,115,3,3,71997.0
3.16,Mid-tier,Business,Midwest,3,1,1,Large,Handshake,11,122,6,4,82772.0
3.47,Lower-tier,Healthcare,Midwest,1,3,8,Large,Indeed,7,134,3,3,50727.0
3.1,Lower-tier,Healthcare,Midwest,0,2,8,Medium,Handshake,11,64,2,1,57572.0
2.9,Lower-tier,Business,Northeast,1,1,7,Large,LinkedIn,4,30,2,1,88994.0
2.75,Lower-tier,Healthcare,West,0,6,5,Medium,Handshake,11,119,6,5,46449.0
3.27,Lower-tier,Healthcare,Midwest,4,0,1,Large,Handshake,6,26,2,1,78869.0
3.28,Mid-tier,Business,Northeast,2,1,3,Medium,LinkedIn,8,54,3,1,90219.0
3.72,Mid-tier,Business,South,1,1,4,Large,LinkedIn,3,44,2,2,84689.0
3.23,Mid-tier,STEM,Midwest,2,3,3,Medium,Indeed,3,58,3,1,79954.0
3.37,Lower-tier,STEM,Northeast,1,0,2,Large,Handshake,11,16,2,2,81483.0
3.99,Lower-tier,STEM,South,0,3,1,Medium,Indeed,6,135,2,1,92253.0
3.29,Lower-tier,STEM,Northeast,1,1,1,Medium,LinkedIn,3,30,2,2,83949.0
2.44,Mid-tier,STEM,South,1,2,3,Medium,Handshake,9,78,3,3,82646.0
3.18,Lower-tier,Business,South,3,1,7,Medium,LinkedIn,9,99,2,2,73615.0
4.0,Top-tier,STEM,West,0,2,6,Medium,LinkedIn,6,33,2,2,95851.0
3.4,Lower-tier,STEM,West,4,1,1,Medium,LinkedIn,2,23,2,2,107899.0
2.0,Mid-tier,Healthcare,Midwest,1,3,2,Large,Handshake,5,20,2,1,50833.0
3.5,Mid-tier,Business,West,1,2,1,Large,Handshake,12,30,2,1,70294.0
3.15,Mid-tier,Humanities,West,1,3,2,Medium,Indeed,9,241,3,3,64017.0
3.34,Lower-tier,Business,Northeast,1,1,3,Large,LinkedIn,6,63,2,2,76924.0
3.44,Lower-tier,Business,Midwest,0,2,1,Large,LinkedIn,8,80,2,1,65601.0
3.04,Mid-tier,Humanities,West,2,4,0,Small,Handshake,6,24,2,2,67075.0
2.37,Mid-tier,STEM,South,1,2,4,Small,Handshake,2,20,2,1,73977.0
3.56,Top-tier,Business,Northeast,0,1,1,Medium,LinkedIn,2,16,2,2,82267.0
2.98,Mid-tier,Healthcare,Midwest,0,0,2,Small,Indeed,12,60,2,2,47360.0
3.05,Top-tier,STEM,Midwest,1,2,3,Medium,LinkedIn,9,30,2,1,98383.0
2.37,Mid-tier,Humanities,South,2,3,2,Medium,LinkedIn,10,73,3,2,68817.0
2.98,Mid-tier,Business,Northeast,1,2,3,Large,Indeed,10,105,2,1,72835.0
3.39,Lower-tier,Business,West,2,0,3,Medium,LinkedIn,5,56,2,2,89952.0
3.27,Top-tier,Business,Northeast,2,1,3,Medium,Handshake,10,111,6,1,84617.0
3.23,Top-tier,Business,West,2,3,1,Medium,LinkedIn,6,21,2,2,99780.0
3.55,Mid-tier,Business,South,1,1,2,Medium,Handshake,9,39,2,2,78798.0
3.41,Mid-tier,Business,Northeast,2,4,4,Medium,Handshake,5,10,2,1,60422.0
2.82,Top-tier,Healthcare,Northeast,1,3,0,Large,LinkedIn,12,108,4,2,89690.0
3.34,Mid-tier,Humanities,Northeast,1,1,2,Medium,Indeed,10,133,6,5,61341.0
4.0,Mid-tier,STEM,Midwest,2,2,3,Small,Handshake,11,14,2,2,93439.0
3.67,Lower-tier,STEM,Midwest,0,5,2,Large,Handshake,11,67,4,3,89156.0
2.92,Lower-tier,Business,Northeast,1,2,4,Large,Indeed,10,126,3,2,66014.0
3.06,Mid-tier,STEM,South,1,1,4,Small,Handshake,12,82,3,1,84771.0
3.44,Mid-tier,Healthcare,West,2,1,6,Medium,LinkedIn,12,134,4,4,72837.0
2.47,Lower-tier,Business,Northeast,0,2,3,Small,Handshake,5,20,2,2,41686.0
3.17,Top-tier,STEM,South,1,0,2,Medium,Handshake,3,5,2,1,90354.0
3.93,Mid-tier,Humanities,South,3,2,1,Medium,Indeed,5,83,5,5,79835.0
3.35,Mid-tier,Humanities,Northeast,2,4,2,Small,Handshake,10,33,2,2,77804.0
3.68,Lower-tier,Business,Midwest,3,3,3,Small,Indeed,4,58,2,1,64258.0
3.46,Lower-tier,Humanities,Northeast,1,4,5,Medium,Handshake,2,5,2,2,77375.0
3.5,Top-tier,STEM,South,1,2,2,Medium,Handshake,4,36,2,2,94996.0
3.21,Lower-tier,Healthcare,Northeast,3,5,3,Small,Handshake,10,71,4,4,67404.0
3.81,Mid-tier,Business,Midwest,2,5,2,Large,Handshake,3,30,2,2,84907.0
3.74,Lower-tier,Business,South,0,3,1,Large,LinkedIn,12,168,2,1,83790.0
3.2,Lower-tier,STEM,Northeast,1,2,2,Medium,LinkedIn,10,65,4,3,92469.0
2.96,Mid-tier,STEM,Northeast,2,2,4,Small,Indeed,11,97,4,1,83718.0
3.09,Mid-tier,STEM,Midwest,3,3,0,Small,LinkedIn,4,24,2,2,106311.0
3.18,Top-tier,STEM,South,1,3,5,Small,LinkedIn,6,77,2,1,93116.0
2.38,Lower-tier,Business,West,1,6,3,Large,Handshake,10,55,2,2,57064.0
3.48,Mid-tier,Business,Midwest,0,4,1,Small,LinkedIn,4,59,2,1,69331.0
3.27,Lower-tier,Healthcare,South,1,1,2,Medium,Handshake,1,5,2,1,62648.0
3.43,Lower-tier,Business,Midwest,0,0,2,Small,Handshake,10,26,2,2,65152.0
4.0,Lower-tier,STEM,Northeast,0,2,3,Medium,Handshake,11,23,2,1,56999.0
3.35,Mid-tier,Arts,South,1,3,4,Medium,LinkedIn,10,113,2,2,71326.0
2.85,Mid-tier,STEM,Midwest,2,0,3,Large,LinkedIn,8,38,2,1,84908.0
3.57,Top-tier,Business,Northeast,2,1,1,Medium,Handshake,8,5,2,2,92203.0
2.98,Mid-tier,Healthcare,Northeast,3,2,3,Medium,Handshake,4,5,2,1,77324.0
3.73,Mid-tier,Business,West,0,3,4,Medium,LinkedIn,7,40,3,3,81963.0
3.5,Mid-tier,Business,South,0,1,6,Large,LinkedIn,7,40,2,2,77286.0
3.4,Mid-tier,Business,West,4,0,4,Medium,Indeed,3,32,2,1,75702.0
3.15,Mid-tier,Business,South,1,1,3,Medium,LinkedIn,11,44,3,1,71646.0
3.67,Mid-tier,STEM,West,1,0,1,Large,Indeed,10,75,4,3,58069.0
3.75,Mid-tier,Healthcare,Northeast,2,1,3,Medium,LinkedIn,9,97,2,1,70269.0
2.97,Mid-tier,Business,Northeast,1,5,2,Medium,LinkedIn,7,63,3,2,86837.0
3.58,Top-tier,Business,South,1,2,2,Large,Indeed,5,44,3,1,85483.0
3.43,Top-tier,Healthcare,Midwest,3,4,4,Medium,LinkedIn,7,35,2,1,90223.0
3.44,Mid-tier,STEM,West,1,3,6,Large,Indeed,3,40,3,3,72559.0
3.79,Lower-tier,Humanities,Midwest,0,3,0,Medium,LinkedIn,6,64,3,2,67792.0
2.64,Top-tier,Arts,West,2,3,4,Medium,Handshake,11,66,2,1,76707.0
3.51,Top-tier,Business,Midwest,3,1,2,Large,Indeed,9,124,2,1,96019.0
3.2,Lower-tier,Business,Northeast,1,1,5,Large,Indeed,1,16,2,2,59375.0
3.25,Mid-tier,STEM,South,3,0,4,Medium,LinkedIn,6,17,2,2,95668.0
2.97,Lower-tier,Business,Midwest,1,0,4,Medium,LinkedIn,7,96,3,3,92711.0
2.99,Lower-tier,Business,South,1,1,1,Large,LinkedIn,8,128,4,3,81461.0
3.52,Mid-tier,Business,South,3,3,3,Large,Indeed,7,121,2,1,80738.0
3.09,Mid-tier,Business,West,4,1,1,Large,Indeed,1,20,2,1,72276.0
3.13,Top-tier,Business,West,2,5,2,Medium,LinkedIn,11,115,6,1,92669.0
3.69,Mid-tier,STEM,Northeast,3,4,1,Large,LinkedIn,6,44,3,1,90568.0
3.75,Lower-tier,STEM,Northeast,2,2,5,Medium,LinkedIn,7,50,3,3,100873.0
3.23,Lower-tier,Humanities,Midwest,1,2,2,Medium,Handshake,7,12,2,1,39926.0
3.41,Top-tier,Business,West,1,5,4,Medium,Indeed,10,103,2,1,79244.0
3.42,Lower-tier,STEM,Midwest,3,1,2,Large,Indeed,3,61,3,3,70811.0
3.06,Mid-tier,Business,West,4,4,1,Large,LinkedIn,4,48,2,1,95155.0
3.12,Mid-tier,Business,Midwest,1,5,0,Small,LinkedIn,6,34,2,2,70327.0
3.48,Top-tier,Healthcare,South,2,3,6,Medium,Indeed,12,178,5,4,77517.0
2.83,Mid-tier,Healthcare,Midwest,1,2,2,Large,Handshake,9,5,2,2,56820.0
3.74,Mid-tier,Business,West,1,1,2,Large,LinkedIn,11,133,2,2,82115.0
2.97,Mid-tier,Business,West,1,1,4,Medium,Handshake,10,8,2,1,77615.0
2.77,Mid-tier,STEM,South,0,1,3,Small,Handshake,10,36,2,2,75033.0
3.38,Top-tier,Healthcare,South,1,1,3,Large,Indeed,4,64,2,2,73069.0
3.61,Lower-tier,Business,West,1,2,4,Small,LinkedIn,12,34,2,1,79437.0
2.51,Lower-tier,Healthcare,South,1,3,1,Large,Handshake,9,70,3,1,55105.0
2.9,Mid-tier,Business,Midwest,3,4,4,Small,Handshake,12,52,3,1,75387.0
2.44,Lower-tier,STEM,South,2,2,6,Medium,LinkedIn,12,138,6,5,89287.0
2.08,Lower-tier,Business,Northeast,0,4,4,Medium,Handshake,10,93,2,1,49503.0
2.82,Lower-tier,Business,West,0,1,1,Large,Indeed,6,128,6,1,35000.0
3.03,Top-tier,Healthcare,South,1,0,2,Small,LinkedIn,12,78,4,2,66699.0
2.82,Mid-tier,Arts,South,0,1,2,Large,LinkedIn,7,52,2,1,52059.0
3.73,Mid-tier,Business,Midwest,1,5,4,Large,LinkedIn,7,29,2,2,88360.0
2.95,Mid-tier,STEM,Midwest,1,1,1,Large,Indeed,11,49,2,1,71379.0
3.04,Top-tier,Healthcare,West,1,4,2,Large,Handshake,3,21,2,2,62119.0
3.42,Mid-tier,Healthcare,Northeast,1,3,3,Medium,Handshake,12,48,3,1,42840.0
3.65,Mid-tier,Business,South,2,2,5,Medium,LinkedIn,9,48,3,1,95170.0
3.44,Lower-tier,STEM,Northeast,0,0,4,Medium,Handshake,10,70,3,1,89748.0
3.03,Mid-tier,Business,Northeast,4,2,2,Small,Handshake,2,8,2,2,93490.0
2.83,Top-tier,STEM,Northeast,4,2,3,Small,LinkedIn,1,6,2,2,107995.0
3.2,Mid-tier,Business,South,3,2,1,Large,LinkedIn,10,45,2,1,75995.0
3.01,Top-tier,STEM,Midwest,4,1,3,Medium,LinkedIn,4,38,2,2,124312.0
3.66,Top-tier,Business,Midwest,1,1,1,Small,Handshake,5,20,2,2,86873.0
3.71,Lower-tier,Business,Northeast,4,0,5,Small,LinkedIn,5,42,3,2,91966.0
3.34,Mid-tier,Business,South,2,2,3,Large,Indeed,6,110,4,2,66114.0
3.43,Lower-tier,Business,West,0,0,3,Large,Handshake,4,18,2,1,69505.0
3.81,Mid-tier,Arts,South,2,1,2,Medium,Handshake,6,26,2,2,63026.0
2.57,Mid-tier,STEM,South,0,4,0,Medium,Indeed,11,135,6,1,66719.0
2.54,Top-tier,STEM,Northeast,2,4,2,Large,LinkedIn,2,16,2,2,94699.0
3.48,Mid-tier,Business,South,3,4,3,Medium,LinkedIn,1,16,2,1,92190.0
2.0,Mid-tier,Business,Northeast,2,3,2,Small,LinkedIn,7,77,4,1,80411.0
3.07,Mid-tier,STEM,Northeast,2,0,3,Large,Handshake,12,112,4,2,81455.0
4.0,Mid-tier,Arts,Northeast,1,3,2,Large,LinkedIn,9,15,2,2,67946.0
3.26,Mid-tier,Healthcare,South,0,0,5,Small,Handshake,4,29,2,1,70337.0
2.99,Mid-tier,Business,South,1,2,1,Large,LinkedIn,8,72,2,2,70375.0
2.9,Lower-tier,Business,South,3,2,1,Small,LinkedIn,10,33,2,2,87537.0
2.91,Lower-tier,Humanities,Northeast,3,1,8,Small,Handshake,9,52,2,1,75838.0
2.94,Mid-tier,Business,West,1,3,5,Medium,Handshake,9,22,2,2,68861.0
3.49,Mid-tier,STEM,Northeast,0,1,2,Large,Handshake,12,42,3,3,74696.0
3.72,Top-tier,Business,West,0,0,1,Small,Handshake,3,22,2,2,69519.0
3.31,Mid-tier,Business,West,1,3,4,Small,Indeed,5,117,6,3,47068.0
2.96,Top-tier,Healthcare,West,1,3,2,Medium,LinkedIn,11,49,2,1,75052.0
2.7,Mid-tier,Business,Midwest,2,0,4,Small,LinkedIn,2,24,2,2,98584.0
2.97,Top-tier,Arts,South,3,2,5,Small,LinkedIn,11,124,2,1,105834.0
3.87,Mid-tier,Humanities,Midwest,1,2,1,Large,LinkedIn,2,22,2,1,75204.0
3.06,Mid-tier,Business,Midwest,1,2,3,Large,Handshake,5,15,2,2,77998.0
3.7,Mid-tier,Healthcare,West,1,1,5,Medium,LinkedIn,10,88,4,1,57155.0
3.06,Lower-tier,STEM,Midwest,3,2,4,Medium,Handshake,3,15,2,2,71136.0
3.51,Mid-tier,Healthcare,Northeast,0,3,5,Medium,Indeed,9,135,7,3,75790.0
3.6,Mid-tier,STEM,West,2,3,3,Medium,Indeed,11,157,3,1,81131.0
3.11,Top-tier,Arts,Northeast,1,2,4,Medium,Indeed,9,81,5,3,69962.0
3.15,Mid-tier,Business,Midwest,1,3,2,Large,Handshake,3,18,2,2,60173.0
3.92,Top-tier,STEM,Midwest,1,2,3,Small,LinkedIn,4,32,2,2,98931.0
3.6,Mid-tier,STEM,West,2,0,2,Medium,LinkedIn,10,65,2,1,81340.0
3.66,Mid-tier,Arts,West,3,1,3,Medium,Handshake,6,23,2,1,66863.0
2.74,Mid-tier,STEM,Northeast,0,2,4,Medium,Handshake,12,22,2,1,74700.0
3.21,Lower-tier,Healthcare,Northeast,2,3,1,Small,Handshake,6,44,3,3,61955.0
3.0,Mid-tier,Humanities,Northeast,1,3,3,Small,LinkedIn,5,21,2,1,67792.0
3.67,Top-tier,STEM,South,2,1,3,Large,LinkedIn,2,23,2,1,96690.0
3.61,Mid-tier,STEM,Midwest,2,2,3,Medium,LinkedIn,11,80,3,2,84886.0
3.25,Mid-tier,STEM,Midwest,2,1,8,Medium,LinkedIn,10,86,2,1,87818.0
3.47,Lower-tier,STEM,Northeast,1,1,3,Large,Indeed,1,8,2,2,69458.0
3.54,Lower-tier,STEM,West,1,1,2,Small,Handshake,12,72,4,4,72952.0
3.77,Lower-tier,Healthcare,South,0,2,4,Small,LinkedIn,5,70,2,1,63599.0
2.64,Mid-tier,STEM,Midwest,0,3,2,Large,Handshake,11,69,2,1,72057.0
2.76,Mid-tier,Business,Northeast,2,3,3,Small,Indeed,3,22,2,2,55049.0
2.67,Mid-tier,STEM,Northeast,2,4,4,Medium,Handshake,8,42,2,1,84042.0
2.29,Mid-tier,Healthcare,Midwest,1,1,7,Large,LinkedIn,6,35,2,2,69875.0
3.57,Mid-tier,STEM,Northeast,0,2,2,Large,LinkedIn,11,126,4,1,87600.0
3.24,Lower-tier,STEM,Midwest,0,2,3,Medium,Handshake,3,11,2,1,73859.0
3.08,Top-tier,Healthcare,Midwest,1,2,3,Large,Indeed,3,53,2,2,57873.0
4.0,Mid-tier,STEM,Midwest,2,3,3,Large,Indeed,1,10,2,1,78764.0
3.09,Mid-tier,Arts,South,1,3,7,Large,Indeed,12,230,4,2,69503.0
3.74,Mid-tier,Business,Northeast,3,2,3,Medium,LinkedIn,9,82,4,4,85967.0
3.41,Lower-tier,Business,West,0,0,5,Small,LinkedIn,4,28,2,2,60326.0
3.91,Mid-tier,STEM,Northeast,3,3,4,Medium,LinkedIn,7,26,2,1,95896.0
3.28,Lower-tier,STEM,West,1,1,1,Large,Indeed,9,82,3,3,78780.0
3.83,Lower-tier,Healthcare,West,4,5,3,Small,Handshake,12,72,3,1,85449.0
3.6,Mid-tier,Arts,South,1,0,4,Small,Handshake,5,10,2,2,59510.0
3.23,Top-tier,STEM,West,3,3,2,Large,LinkedIn,9,84,5,2,108521.0
3.77,Mid-tier,STEM,Northeast,1,2,2,Large,Handshake,5,19,2,1,84828.0
2.63,Lower-tier,Humanities,West,3,1,6,Large,Handshake,5,30,2,2,71914.0
