GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received,Offer_Salary
2.74,Mid-tier,Healthcare,West,1,0,4,Medium,Indeed,4,72,4,3,,
3.43,Mid-tier,STEM,Northeast,1,0,3,Medium,LinkedIn,12,124,7,3,,
3.09,Mid-tier,Business,Northeast,1,1,2,Medium,LinkedIn,3,10,0,0,,
2.54,Lower-tier,Healthcare,Northeast,1,1,1,Large,LinkedIn,7,54,2,2,,
3.13,Top-tier,Business,South,0,0,3,Medium,Handshake,3,19,0,0,,
2.47,Top-tier,STEM,Midwest,1,0,2,Large,LinkedIn,7,63,3,1,,
2.88,Lower-tier,STEM,South,0,3,1,Medium,Handshake,3,29,2,2,,
3.17,Mid-tier,STEM,Midwest,2,3,3,Medium,LinkedIn,2,15,1,0,,
3.19,Lower-tier,Business,Midwest,1,2,4,Medium,Indeed,3,20,0,0,,
3.36,Lower-tier,STEM,West,1,2,2,Medium,LinkedIn,12,82,1,0,,
3.49,Mid-tier,STEM,West,1,0,2,Medium,Handshake,1,9,1,0,,
3.17,Top-tier,Healthcare,West,4,2,4,Large,LinkedIn,7,58,3,3,,
3.69,Mid-tier,Humanities,Northeast,2,1,4,Medium,LinkedIn,7,64,2,2,,
2.79,Mid-tier,STEM,Midwest,1,3,6,Medium,Indeed,7,24,0,0,,
3.57,Lower-tier,Business,South,0,2,2,Medium,Indeed,11,143,6,5,,
3.52,Mid-tier,Business,Northeast,0,1,1,Large,Indeed,9,72,2,1,,
2.81,Mid-tier,Business,West,3,2,0,Medium,Handshake,10,60,7,3,,
3.48,Mid-tier,STEM,Northeast,1,1,4,Large,Indeed,8,162,3,1,,
3.19,Mid-tier,Humanities,Midwest,2,3,1,Medium,Indeed,2,38,0,0,,
2.69,Mid-tier,Business,Northeast,0,2,3,Large,LinkedIn,3,22,0,0,,
3.06,Lower-tier,Humanities,West,0,3,6,Small,Handshake,10,98,5,4,,
3.12,Top-tier,STEM,Midwest,3,1,1,Large,LinkedIn,7,64,2,2,,
3.44,Mid-tier,STEM,South,0,0,0,Medium,LinkedIn,9,96,4,1,,
3.03,Mid-tier,STEM,South,0,4,3,Small,Handshake,8,38,4,2,,
3.55,Mid-tier,Business,West,1,3,5,Medium,Indeed,6,75,1,0,,
3.11,Lower-tier,Business,Northeast,2,1,2,Large,LinkedIn,7,68,3,1,,
3.49,Mid-tier,Humanities,South,0,2,2,Large,Handshake,4,36,1,1,,
2.88,Mid-tier,Humanities,South,2,1,7,Medium,Handshake,6,25,0,0,,
2.84,Mid-tier,Business,Northeast,0,6,3,Medium,LinkedIn,5,42,0,0,,
3.29,Lower-tier,STEM,Northeast,0,1,2,Medium,Handshake,1,5,0,0,,
2.41,Top-tier,Business,West,0,1,1,Medium,LinkedIn,4,33,0,0,,
2.88,Mid-tier,Humanities,Northeast,0,5,3,Small,Indeed,2,36,1,0,,
2.75,Lower-tier,STEM,South,2,0,1,Large,LinkedIn,2,19,1,1,,
3.25,Top-tier,Humanities,Midwest,2,2,8,Medium,LinkedIn,6,59,2,1,,
2.77,Mid-tier,Humanities,West,0,4,4,Small,Handshake,5,35,2,2,,
3.19,Lower-tier,Business,South,0,0,2,Medium,Handshake,5,20,2,2,,
3.26,Mid-tier,Business,South,1,4,0,Large,LinkedIn,7,30,0,0,,
3.23,Lower-tier,Business,Northeast,2,3,3,Medium,Indeed,1,7,0,0,,
2.79,Lower-tier,Business,Midwest,1,1,3,Large,LinkedIn,8,78,1,0,,
2.88,Lower-tier,STEM,West,0,1,6,Small,Handshake,6,23,1,0,,
2.78,Top-tier,Business,Northeast,2,1,0,Large,Handshake,10,81,8,4,,
2.89,Top-tier,STEM,Northeast,1,1,3,Medium,Indeed,7,126,0,0,,
3.97,Mid-tier,Business,South,3,1,9,Large,LinkedIn,4,40,2,2,,
2.63,Lower-tier,STEM,Northeast,4,2,4,Medium,Handshake,4,36,3,0,,
3.87,Mid-tier,Healthcare,Northeast,1,4,1,Large,Handshake,10,21,3,0,,
3.69,Lower-tier,STEM,West,2,1,4,Large,Handshake,7,8,2,1,,
3.38,Mid-tier,STEM,West,2,2,2,Small,LinkedIn,5,36,3,1,,
2.46,Lower-tier,Business,South,0,2,3,Small,LinkedIn,6,53,2,0,,
3.26,Lower-tier,Arts,West,2,4,3,Medium,LinkedIn,2,22,1,0,,
3.32,Lower-tier,Business,South,0,1,0,Large,LinkedIn,4,5,1,0,,
3.78,Mid-tier,Humanities,West,0,3,2,Medium,LinkedIn,5,49,0,0,,
3.36,Top-tier,Humanities,Midwest,3,4,3,Large,Indeed,3,69,0,0,,
3.2,Top-tier,STEM,South,1,0,3,Medium,Handshake,9,46,5,2,,
3.2,Lower-tier,STEM,Midwest,2,0,2,Small,Indeed,12,160,1,1,,
2.45,Lower-tier,Business,South,1,1,3,Medium,Indeed,2,24,0,0,,
3.43,Top-tier,Business,South,2,2,4,Large,LinkedIn,2,6,2,2,,
3.03,Mid-tier,Business,South,2,1,4,Large,Handshake,10,35,2,1,,
3.51,Lower-tier,STEM,South,0,0,2,Large,Handshake,2,12,0,0,,
2.94,Mid-tier,Business,Northeast,2,1,3,Medium,LinkedIn,6,53,4,1,,
3.18,Mid-tier,Humanities,South,1,1,1,Medium,Handshake,1,5,2,2,,
2.87,Mid-tier,STEM,South,2,1,4,Medium,Handshake,12,102,7,1,,
3.33,Mid-tier,Business,Midwest,0,2,1,Small,LinkedIn,3,35,0,0,,
2.54,Lower-tier,STEM,Midwest,0,4,4,Medium,LinkedIn,10,100,2,0,,
2.89,Mid-tier,Business,West,1,0,1,Medium,Handshake,12,5,1,1,,
2.8,Mid-tier,Business,Midwest,1,2,2,Medium,Handshake,11,60,4,4,,
2.99,Top-tier,STEM,South,1,2,1,Medium,LinkedIn,8,80,5,5,,
3.31,Lower-tier,STEM,Northeast,1,1,2,Medium,LinkedIn,6,9,1,1,,
3.73,Mid-tier,Business,Northeast,2,1,1,Medium,LinkedIn,11,110,5,1,,
2.66,Lower-tier,Business,Northeast,1,3,0,Medium,Indeed,9,165,2,0,,
2.86,Top-tier,Humanities,South,1,1,2,Small,LinkedIn,11,177,2,1,,
3.55,Mid-tier,Business,West,3,5,1,Large,Indeed,6,77,3,1,,
3.02,Mid-tier,Healthcare,South,2,4,1,Medium,LinkedIn,1,5,2,1,,
3.13,Top-tier,STEM,West,1,2,3,Medium,Indeed,8,93,0,0,,
3.03,Lower-tier,Business,West,4,1,2,Medium,LinkedIn,8,74,4,1,,
3.15,Mid-tier,Business,Northeast,4,1,3,Medium,Indeed,8,117,6,4,,
3.03,Mid-tier,Arts,South,0,4,8,Large,LinkedIn,6,86,1,0,,
3.64,Mid-tier,Business,Midwest,2,2,0,Medium,Handshake,1,5,1,1,,
3.08,Mid-tier,STEM,West,0,7,2,Large,Handshake,5,28,2,1,,
3.35,Mid-tier,STEM,Midwest,0,1,5,Large,Handshake,6,54,3,3,,
3.62,Mid-tier,Business,Northeast,1,2,1,Large,LinkedIn,7,5,2,2,,
3.21,Mid-tier,STEM,West,0,2,3,Small,Handshake,1,5,0,0,,
4.0,Mid-tier,Healthcare,Midwest,0,4,0,Medium,Indeed,6,53,1,0,,
4.0,Lower-tier,Healthcare,Northeast,0,2,1,Large,Indeed,1,5,2,2,,
3.53,Lower-tier,Business,Midwest,1,2,6,Medium,LinkedIn,6,64,3,1,,
3.68,Mid-tier,Business,Northeast,2,5,4,Medium,LinkedIn,5,55,1,0,,
3.02,Mid-tier,STEM,Midwest,1,2,1,Large,LinkedIn,4,32,1,0,,
3.09,Lower-tier,STEM,South,2,3,4,Large,Handshake,5,9,1,0,,
3.08,Top-tier,STEM,West,3,1,0,Large,Handshake,12,96,2,1,,
2.97,Lower-tier,STEM,West,1,0,4,Small,LinkedIn,6,46,1,0,,
3.61,Mid-tier,STEM,South,2,4,4,Large,LinkedIn,9,118,2,1,,
3.22,Mid-tier,Humanities,Northeast,2,0,3,Small,LinkedIn,7,40,2,1,,
3.4,Mid-tier,STEM,Northeast,0,1,1,Small,Indeed,4,34,0,0,,
3.6,Mid-tier,Business,West,1,3,5,Medium,Handshake,1,5,0,0,,
3.6,Mid-tier,STEM,West,2,1,1,Large,Indeed,5,54,2,2,,
3.89,Top-tier,Humanities,West,0,0,2,Medium,LinkedIn,3,34,2,0,,
2.56,Top-tier,STEM,West,2,1,2,Small,LinkedIn,10,35,2,0,,
2.75,Lower-tier,Healthcare,South,1,1,5,Large,LinkedIn,10,61,3,2,,
2.72,Lower-tier,Business,Midwest,1,7,2,Small,Handshake,12,90,6,2,,
2.27,Mid-tier,STEM,Northeast,0,0,3,Large,Indeed,12,188,4,1,,
3.45,Lower-tier,Humanities,South,2,2,4,Large,LinkedIn,4,40,0,0,,
3.11,Top-tier,Business,Northeast,2,7,4,Medium,LinkedIn,11,117,3,2,,
3.4,Mid-tier,STEM,Midwest,1,0,3,Large,Handshake,6,31,2,1,,
3.79,Mid-tier,STEM,Northeast,0,3,6,Large,Handshake,6,17,2,2,,
2.92,Lower-tier,STEM,Northeast,2,3,1,Large,Handshake,12,66,7,3,,
3.21,Mid-tier,Arts,Midwest,0,6,2,Medium,LinkedIn,12,68,4,4,,
3.36,Mid-tier,Healthcare,South,0,2,4,Medium,Indeed,2,32,1,0,,
3.11,Mid-tier,Healthcare,Midwest,0,1,2,Medium,LinkedIn,6,36,0,0,,
2.82,Mid-tier,Business,South,0,2,1,Small,LinkedIn,4,38,0,0,,
3.46,Top-tier,Healthcare,Midwest,2,1,8,Medium,LinkedIn,6,62,3,2,,
2.65,Mid-tier,STEM,West,0,0,2,Medium,Indeed,7,92,2,0,,
3.01,Lower-tier,STEM,Midwest,0,3,4,Small,Handshake,9,39,0,0,,
2.52,Mid-tier,Business,West,3,3,1,Medium,Handshake,1,8,2,2,,
3.28,Mid-tier,Business,West,3,1,2,Medium,Handshake,11,18,2,1,,
3.13,Mid-tier,Business,Midwest,1,0,5,Medium,Handshake,4,15,2,1,,
3.32,Mid-tier,Healthcare,Midwest,2,1,1,Large,Handshake,4,34,5,1,,
3.13,Top-tier,STEM,West,1,2,3,Large,Handshake,3,6,0,0,,
2.84,Top-tier,STEM,West,3,2,4,Large,Handshake,10,88,8,3,,
3.72,Mid-tier,Business,South,1,2,3,Large,Handshake,10,5,0,0,,
2.83,Mid-tier,Business,West,0,2,5,Medium,LinkedIn,2,11,0,0,,
2.7,Top-tier,Business,West,2,2,4,Medium,LinkedIn,8,84,5,4,,
3.4,Top-tier,Humanities,Northeast,1,1,1,Medium,LinkedIn,7,87,3,3,,
3.02,Mid-tier,Arts,South,0,0,6,Small,Handshake,10,50,5,3,,
3.73,Mid-tier,STEM,South,3,0,1,Medium,Indeed,1,14,0,0,,
3.05,Top-tier,Humanities,Midwest,4,2,1,Medium,Handshake,7,24,2,1,,
3.03,Mid-tier,STEM,West,3,1,5,Large,LinkedIn,6,69,2,1,,
2.49,Mid-tier,Humanities,Midwest,1,1,2,Medium,Indeed,12,152,4,2,,
3.44,Mid-tier,Humanities,South,1,4,2,Medium,Indeed,3,5,2,2,,
2.94,Lower-tier,Arts,Northeast,0,2,1,Large,LinkedIn,6,57,1,0,,
2.85,Top-tier,STEM,Midwest,1,1,4,Large,LinkedIn,11,75,1,0,,
2.64,Mid-tier,Humanities,South,0,3,7,Large,LinkedIn,8,58,5,2,,
3.44,Mid-tier,Humanities,South,1,2,3,Large,LinkedIn,11,106,8,1,,
2.87,Lower-tier,Business,Midwest,1,1,6,Large,LinkedIn,6,57,3,1,,
3.0,Top-tier,STEM,West,0,2,7,Medium,LinkedIn,12,102,3,1,,
2.92,Lower-tier,Arts,West,0,6,2,Medium,Handshake,9,5,0,0,,
2.59,Lower-tier,Business,Midwest,1,2,3,Medium,LinkedIn,2,15,3,1,,
3.05,Mid-tier,STEM,West,3,1,1,Medium,LinkedIn,7,59,3,2,,
3.76,Top-tier,STEM,South,0,1,5,Large,Handshake,2,6,2,2,,
3.11,Mid-tier,Arts,Midwest,2,3,6,Medium,Indeed,1,19,0,0,,
2.92,Lower-tier,STEM,Midwest,2,3,1,Large,LinkedIn,7,43,3,1,,
3.23,Lower-tier,Humanities,West,1,4,1,Large,LinkedIn,11,146,5,1,,
3.65,Lower-tier,Business,Northeast,0,3,3,Medium,Indeed,2,27,0,0,,
3.49,Mid-tier,Humanities,West,1,0,4,Medium,Indeed,3,23,0,0,,
3.13,Lower-tier,Healthcare,Northeast,1,1,3,Small,Handshake,1,5,1,0,,
3.15,Mid-tier,STEM,Northeast,0,1,3,Large,Handshake,12,24,2,1,,
3.92,Lower-tier,Arts,South,0,0,1,Small,Handshake,2,5,0,0,,
3.56,Mid-tier,STEM,Northeast,0,1,4,Large,LinkedIn,9,72,8,2,,
3.22,Mid-tier,Business,Northeast,1,2,4,Small,LinkedIn,2,12,0,0,,
3.28,Mid-tier,STEM,Northeast,2,4,5,Large,LinkedIn,9,112,0,0,,
3.59,Lower-tier,Business,West,2,3,5,Large,LinkedIn,12,96,1,0,,
3.79,Lower-tier,Business,Midwest,4,6,4,Medium,Handshake,3,17,1,0,,
3.12,Mid-tier,Humanities,South,2,0,1,Small,Indeed,5,79,0,0,,
3.28,Mid-tier,STEM,Northeast,0,1,3,Large,Indeed,12,156,1,0,,
3.29,Mid-tier,Business,West,1,4,4,Medium,Handshake,5,10,2,2,,
3.72,Lower-tier,Business,Northeast,0,2,5,Small,Handshake,1,5,0,0,,
3.13,Mid-tier,Business,South,0,4,1,Large,LinkedIn,7,93,5,5,,
3.0,Mid-tier,STEM,Northeast,0,2,3,Small,Handshake,7,7,0,0,,
4.0,Mid-tier,Healthcare,Midwest,0,1,3,Large,Handshake,5,29,2,0,,
3.55,Top-tier,Arts,South,0,1,4,Large,Handshake,3,7,2,0,,
3.2,Mid-tier,Business,South,0,5,4,Medium,Indeed,5,35,0,0,,
2.25,Mid-tier,STEM,Midwest,4,5,5,Small,Indeed,4,39,2,1,,
2.82,Lower-tier,STEM,South,0,3,2,Medium,LinkedIn,12,52,2,0,,
2.73,Mid-tier,Business,Midwest,3,3,4,Large,LinkedIn,1,7,2,2,,
2.99,Top-tier,Healthcare,South,0,2,4,Large,Handshake,2,12,1,0,,
4.0,Lower-tier,Humanities,West,2,1,1,Large,Indeed,1,15,0,0,,
2.77,Mid-tier,Healthcare,Midwest,2,2,5,Large,Handshake,6,37,2,2,,
3.51,Lower-tier,STEM,South,3,3,1,Medium,LinkedIn,11,115,3,0,,
2.49,Top-tier,Business,Northeast,1,1,2,Medium,Indeed,7,66,1,0,,
3.05,Lower-tier,STEM,South,1,3,1,Large,Handshake,7,47,2,0,,
3.24,Mid-tier,Business,South,4,3,4,Medium,Handshake,12,44,4,0,,
2.83,Mid-tier,Business,Midwest,0,3,1,Large,Indeed,1,17,1,1,,
3.95,Mid-tier,Humanities,South,0,2,4,Large,Handshake,8,42,1,0,,
2.91,Lower-tier,Humanities,West,2,2,3,Large,Handshake,12,54,2,2,,
3.76,Mid-tier,Business,West,2,2,5,Large,Handshake,2,9,0,0,,
2.55,Lower-tier,STEM,West,0,1,8,Medium,Handshake,11,73,10,2,,
3.4,Mid-tier,Healthcare,West,1,3,5,Medium,LinkedIn,5,34,0,0,,
3.51,Mid-tier,Business,South,2,2,1,Small,LinkedIn,11,185,4,4,,
3.1,Lower-tier,Business,West,3,3,1,Medium,LinkedIn,3,35,2,2,,
3.57,Mid-tier,Business,South,1,4,5,Medium,LinkedIn,8,65,1,0,,
2.78,Mid-tier,Humanities,Northeast,0,0,1,Small,Handshake,3,21,1,1,,
3.16,Mid-tier,Business,Northeast,2,3,3,Small,LinkedIn,3,16,1,0,,
3.42,Lower-tier,STEM,Midwest,1,3,4,Large,LinkedIn,2,27,0,0,,
4.0,Lower-tier,STEM,Midwest,1,1,4,Large,Handshake,9,9,2,1,,
3.6,Mid-tier,Arts,South,0,0,3,Large,Handshake,6,25,3,1,,
2.95,Mid-tier,Business,Midwest,0,2,4,Medium,Indeed,12,236,6,1,,
2.87,Mid-tier,Humanities,Midwest,0,1,3,Medium,Indeed,4,66,0,0,,
3.2,Mid-tier,STEM,South,0,2,3,Medium,Handshake,10,43,4,2,,
2.55,Mid-tier,STEM,West,2,2,3,Small,Indeed,10,153,1,0,,
3.27,Lower-tier,STEM,Midwest,2,2,4,Small,Handshake,1,5,0,0,,
3.52,Mid-tier,STEM,West,0,0,3,Small,Handshake,11,66,7,2,,
3.38,Mid-tier,Business,Midwest,0,1,3,Medium,LinkedIn,6,53,2,1,,
3.6,Mid-tier,Humanities,Northeast,0,2,4,Medium,LinkedIn,4,50,3,1,,
2.92,Lower-tier,Humanities,Northeast,3,0,3,Medium,Indeed,3,50,0,0,,
2.43,Lower-tier,Healthcare,South,0,0,1,Large,Indeed,7,75,0,0,,
2.2,Mid-tier,STEM,Northeast,1,0,4,Medium,Indeed,12,180,1,0,,
4.0,Lower-tier,Healthcare,West,3,2,3,Large,Handshake,4,30,1,0,,
3.24,Mid-tier,STEM,West,3,1,1,Small,Handshake,2,12,2,2,,
4.0,Mid-tier,Healthcare,West,1,2,6,Medium,LinkedIn,9,31,2,0,,
3.1,Top-tier,Healthcare,West,3,1,2,Medium,LinkedIn,9,61,4,3,,
2.2,Mid-tier,STEM,Northeast,1,2,3,Small,Indeed,4,49,1,1,,
2.87,Mid-tier,STEM,South,2,0,3,Small,Handshake,11,84,5,5,,
3.37,Top-tier,Healthcare,Midwest,0,3,6,Small,LinkedIn,1,7,0,0,,
3.05,Mid-tier,STEM,West,1,3,3,Small,LinkedIn,5,55,3,1,,
3.07,Top-tier,Business,Northeast,1,0,3,Small,Handshake,11,51,4,1,,
3.6,Mid-tier,STEM,South,1,2,4,Large,LinkedIn,9,73,4,4,,
2.65,Mid-tier,Humanities,Midwest,1,0,3,Medium,LinkedIn,7,73,0,0,,
3.07,Mid-tier,Business,South,2,2,4,Medium,LinkedIn,8,93,2,1,,
3.68,Top-tier,Humanities,West,2,1,4,Small,Indeed,10,151,0,0,,
3.15,Lower-tier,STEM,South,2,2,3,Small,Handshake,8,54,3,0,,
2.4,Mid-tier,Healthcare,South,0,3,3,Small,LinkedIn,2,5,2,2,,
2.54,Mid-tier,Healthcare,Northeast,1,5,6,Large,Handshake,4,20,2,1,,
3.05,Lower-tier,Humanities,Midwest,2,0,4,Large,Indeed,3,55,0,0,,
3.53,Lower-tier,Business,Northeast,1,1,2,Medium,LinkedIn,3,28,1,0,,
3.16,Mid-tier,Humanities,Northeast,1,2,5,Large,LinkedIn,7,50,3,1,,
2.58,Lower-tier,Arts,Northeast,1,4,5,Large,Indeed,12,154,3,0,,
3.62,Lower-tier,Humanities,Northeast,1,3,3,Large,LinkedIn,4,37,2,2,,
3.23,Mid-tier,STEM,Northeast,0,1,0,Large,Handshake,5,23,0,0,,
3.08,Lower-tier,STEM,Midwest,1,3,4,Large,LinkedIn,4,64,3,2,,
3.34,Mid-tier,Business,Midwest,0,3,5,Medium,LinkedIn,5,42,3,1,,
3.08,Lower-tier,Business,Northeast,1,2,2,Large,Indeed,9,136,1,0,,
3.36,Mid-tier,STEM,West,1,4,1,Medium,Handshake,10,31,3,0,,
3.07,Mid-tier,Humanities,Midwest,0,2,2,Medium,Handshake,5,25,2,1,,
3.06,Mid-tier,STEM,Midwest,2,2,3,Small,Handshake,1,5,1,1,,
3.43,Mid-tier,Business,Midwest,1,0,2,Medium,Handshake,3,17,3,1,,
2.83,Mid-tier,Humanities,Northeast,1,2,4,Small,Indeed,12,240,1,0,,
2.74,Mid-tier,STEM,West,1,5,2,Large,Handshake,6,5,0,0,,
3.59,Mid-tier,STEM,Northeast,2,1,5,Large,Handshake,9,43,2,1,,
3.28,Lower-tier,Healthcare,Midwest,1,2,3,Large,Indeed,8,120,1,0,,
2.6,Lower-tier,Business,Midwest,1,2,0,Large,LinkedIn,4,28,0,0,,
2.62,Lower-tier,Arts,Northeast,1,1,1,Large,LinkedIn,7,99,4,1,,
3.4,Mid-tier,Healthcare,West,3,2,0,Small,Handshake,4,13,0,0,,
3.59,Top-tier,STEM,Midwest,2,3,4,Medium,LinkedIn,6,70,2,1,,
2.5,Mid-tier,Business,South,0,3,3,Medium,LinkedIn,10,65,3,0,,
3.07,Mid-tier,Healthcare,South,1,4,4,Large,LinkedIn,3,33,3,1,,
3.84,Mid-tier,Business,West,1,4,4,Medium,LinkedIn,6,61,2,0,,
3.04,Lower-tier,STEM,Northeast,0,3,0,Medium,Indeed,7,81,0,0,,
3.4,Mid-tier,STEM,West,0,1,1,Large,Handshake,6,54,2,0,,
3.55,Lower-tier,Business,Northeast,2,1,6,Medium,LinkedIn,11,89,1,1,,
3.3,Top-tier,STEM,South,1,2,5,Medium,LinkedIn,10,96,4,0,,
3.05,Mid-tier,Business,Midwest,3,2,7,Large,LinkedIn,4,23,2,1,,
3.33,Lower-tier,Healthcare,South,0,2,4,Medium,Indeed,1,15,0,0,,
3.3,Lower-tier,Business,South,2,3,5,Medium,Indeed,11,196,4,3,,
2.47,Mid-tier,Healthcare,West,2,2,2,Large,Indeed,5,45,2,1,,
2.94,Mid-tier,STEM,South,3,0,4,Large,Handshake,11,77,4,3,,
3.67,Lower-tier,Healthcare,South,0,2,3,Medium,LinkedIn,11,95,3,1,,
3.4,Mid-tier,STEM,South,0,6,2,Large,LinkedIn,3,30,1,0,,
2.69,Lower-tier,Healthcare,South,0,4,2,Small,Handshake,6,22,2,2,,
2.63,Mid-tier,Business,South,2,2,3,Medium,Handshake,2,11,2,2,,
3.66,Mid-tier,Business,South,0,2,1,Large,Indeed,6,37,0,0,,
2.33,Mid-tier,Healthcare,South,0,2,6,Large,Indeed,1,6,0,0,,
3.54,Lower-tier,Arts,West,0,5,3,Medium,Indeed,3,44,3,2,,
2.99,Mid-tier,STEM,West,1,3,2,Small,Handshake,5,21,2,2,,
3.35,Lower-tier,STEM,Midwest,2,2,2,Large,LinkedIn,9,102,5,5,,
3.64,Mid-tier,Healthcare,Midwest,0,2,1,Large,LinkedIn,9,54,2,0,,
3.66,Lower-tier,STEM,South,2,2,2,Medium,LinkedIn,9,73,2,1,,
3.01,Lower-tier,Humanities,West,1,0,3,Small,Handshake,8,21,3,1,,
3.28,Lower-tier,Healthcare,Midwest,0,2,2,Large,Indeed,10,55,0,0,,
3.12,Lower-tier,Business,Northeast,0,3,3,Large,Indeed,9,88,0,0,,
3.32,Mid-tier,Business,Northeast,1,0,2,Large,LinkedIn,12,26,0,0,,
2.56,Top-tier,Business,West,1,5,4,Large,Handshake,12,118,3,1,,
3.86,Lower-tier,Humanities,South,0,1,1,Medium,Indeed,9,79,3,0,,
3.19,Mid-tier,STEM,West,2,3,1,Small,Handshake,5,37,2,2,,
3.19,Lower-tier,Business,South,0,3,2,Medium,LinkedIn,5,33,3,2,,
2.74,Mid-tier,STEM,South,1,3,3,Large,LinkedIn,6,58,3,1,,
3.22,Mid-tier,Arts,West,1,2,1,Medium,LinkedIn,8,104,6,3,,
3.13,Top-tier,Business,West,3,2,0,Medium,Handshake,7,24,2,2,,
3.38,Lower-tier,Business,Midwest,0,2,6,Medium,Indeed,3,68,0,0,,
3.0,Mid-tier,Humanities,West,0,1,2,Medium,LinkedIn,2,19,1,0,,
3.78,Top-tier,Humanities,South,0,4,2,Large,LinkedIn,8,5,0,0,,
3.07,Mid-tier,Business,South,2,0,4,Medium,LinkedIn,3,35,2,1,,
3.19,Mid-tier,Business,Midwest,1,1,6,Medium,Indeed,3,46,0,0,,
3.22,Lower-tier,Business,South,0,4,2,Large,LinkedIn,3,40,7,4,,
3.37,Top-tier,STEM,South,4,3,2,Large,Handshake,11,44,2,2,,
3.7,Lower-tier,Business,Northeast,0,2,4,Large,Handshake,1,9,2,1,,
3.75,Lower-tier,Humanities,Midwest,1,1,3,Large,LinkedIn,8,29,2,2,,
3.5,Lower-tier,Healthcare,South,2,2,5,Medium,LinkedIn,3,23,0,0,,
3.49,Lower-tier,Business,South,1,4,5,Large,LinkedIn,1,10,0,0,,
2.97,Mid-tier,Healthcare,Midwest,1,2,4,Medium,Indeed,4,22,2,1,,
2.88,Mid-tier,Business,West,0,3,7,Large,LinkedIn,6,57,3,1,,
3.46,Mid-tier,Humanities,Northeast,0,3,1,Large,Indeed,4,64,0,0,,
2.47,Top-tier,STEM,Midwest,2,1,3,Large,LinkedIn,6,57,4,1,,
2.91,Lower-tier,STEM,Northeast,1,0,3,Large,LinkedIn,8,108,4,0,,
3.33,Top-tier,Healthcare,West,3,1,4,Large,Handshake,10,78,4,3,,
2.92,Top-tier,Business,Midwest,1,2,3,Large,LinkedIn,12,94,5,2,,
3.67,Mid-tier,Humanities,West,3,0,3,Large,LinkedIn,2,5,0,0,,
4.0,Lower-tier,Healthcare,Northeast,1,3,1,Medium,Indeed,10,86,4,1,,
4.0,Mid-tier,Healthcare,South,4,0,0,Small,Handshake,12,84,5,1,,
3.14,Mid-tier,Humanities,Northeast,0,1,3,Medium,LinkedIn,11,106,3,2,,
3.18,Lower-tier,Humanities,Northeast,1,0,5,Medium,LinkedIn,2,17,1,0,,
3.89,Lower-tier,STEM,West,1,3,0,Medium,Indeed,3,42,0,0,,
2.96,Top-tier,Business,West,3,2,2,Large,LinkedIn,3,29,1,0,,
2.85,Lower-tier,Business,Midwest,1,3,3,Large,Handshake,7,24,1,0,,
3.92,Lower-tier,Healthcare,South,2,1,4,Medium,Indeed,9,130,1,1,,
2.83,Mid-tier,Healthcare,Northeast,0,3,3,Small,Handshake,7,21,1,0,,
2.87,Mid-tier,Business,South,2,2,3,Large,Handshake,11,93,3,3,,
3.32,Mid-tier,Humanities,Midwest,0,2,1,Small,LinkedIn,12,110,1,0,,
3.27,Mid-tier,Business,West,2,3,4,Large,LinkedIn,8,38,4,1,,
3.7,Mid-tier,Healthcare,Northeast,0,1,3,Large,Handshake,1,7,1,0,,
2.95,Mid-tier,STEM,Midwest,0,1,1,Large,Indeed,7,113,3,0,,
2.89,Mid-tier,Humanities,Midwest,1,3,4,Medium,Handshake,3,27,1,0,,
3.66,Lower-tier,STEM,South,0,1,2,Medium,Indeed,3,17,2,1,,
3.35,Mid-tier,Business,Northeast,3,0,2,Small,Indeed,7,81,2,2,,
3.03,Mid-tier,Business,South,0,1,3,Large,LinkedIn,2,15,0,0,,
2.81,Mid-tier,STEM,Northeast,0,0,4,Medium,LinkedIn,10,43,2,1,,
3.01,Top-tier,Business,South,1,0,1,Large,Handshake,6,42,5,2,,
2.73,Top-tier,STEM,Midwest,3,3,1,Large,Handshake,3,20,2,0,,
2.57,Mid-tier,Business,Northeast,1,2,1,Medium,LinkedIn,4,10,0,0,,
3.73,Mid-tier,Business,West,0,3,6,Large,LinkedIn,8,57,3,1,,
3.15,Lower-tier,Arts,Midwest,2,2,3,Medium,Handshake,8,18,0,0,,
2.9,Mid-tier,STEM,Midwest,4,1,5,Large,Handshake,12,52,2,2,,
3.37,Lower-tier,Business,South,2,3,3,Medium,LinkedIn,7,78,2,1,,
3.95,Lower-tier,Healthcare,South,0,2,5,Medium,Handshake,3,17,2,1,,
3.3,Mid-tier,STEM,Northeast,0,1,4,Medium,Indeed,2,15,0,0,,
3.24,Lower-tier,Arts,Midwest,0,2,5,Small,Handshake,3,10,0,0,,
3.56,Mid-tier,STEM,West,1,2,5,Medium,LinkedIn,4,40,1,0,,
3.74,Mid-tier,Arts,West,1,1,2,Medium,Handshake,8,34,2,2,,
2.82,Top-tier,Healthcare,Midwest,0,3,7,Large,LinkedIn,7,38,2,1,,
2.98,Mid-tier,Business,South,2,2,3,Large,Indeed,9,138,1,0,,
