GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received
2.57,Mid-tier,Humanities,West,0,0,2,Large,LinkedIn,11,47,0,0,0
3.32,Lower-tier,Business,Northeast,3,4,3,Large,Indeed,12,164,9,4,1
3.57,Mid-tier,Business,Midwest,0,2,4,Medium,Handshake,1,5,1,1,0
2.79,Top-tier,STEM,Midwest,1,1,3,Large,Indeed,4,33,0,0,0
2.41,Lower-tier,STEM,Northeast,1,3,5,Medium,Indeed,1,25,0,0,0
3.5,Mid-tier,STEM,Northeast,0,2,4,Medium,Indeed,10,150,2,1,0
3.3,Lower-tier,Business,Northeast,1,1,4,Large,LinkedIn,1,5,0,0,0
3.2,Lower-tier,STEM,South,0,2,3,Small,Handshake,6,37,5,1,0
3.67,Top-tier,STEM,Midwest,1,4,2,Large,Indeed,8,101,1,1,0
3.18,Lower-tier,Healthcare,Northeast,2,2,6,Large,Handshake,12,92,3,1,0
3.73,Mid-tier,Business,Midwest,1,0,4,Large,LinkedIn,1,6,2,2,1
3.11,Mid-tier,Humanities,West,3,4,3,Small,Handshake,6,22,2,0,0
3.66,Mid-tier,Healthcare,Midwest,1,2,5,Large,Indeed,3,43,0,0,0
3.39,Lower-tier,Business,Northeast,0,1,1,Large,Indeed,2,15,2,2,1
3.14,Top-tier,Humanities,West,4,2,3,Large,Indeed,10,125,6,6,1
3.29,Mid-tier,STEM,South,0,1,3,Small,Handshake,4,16,1,0,0
2.87,Lower-tier,STEM,South,0,2,2,Medium,Handshake,10,85,3,3,1
3.77,Lower-tier,Arts,Northeast,4,3,4,Large,Indeed,9,82,3,2,1
3.77,Lower-tier,Business,South,0,2,2,Large,Handshake,2,10,0,0,0
2.87,Top-tier,STEM,Midwest,4,4,2,Large,LinkedIn,4,16,2,2,1
4.0,Mid-tier,Humanities,Midwest,0,0,1,Large,Handshake,12,86,5,1,1
2.75,Mid-tier,STEM,Midwest,2,1,2,Small,Handshake,11,69,4,3,1
3.68,Lower-tier,Arts,Midwest,2,2,2,Large,Handshake,7,19,3,0,0
3.04,Mid-tier,Business,South,1,2,3,Large,Indeed,3,31,2,2,1
3.29,Mid-tier,Business,South,0,0,8,Medium,LinkedIn,12,122,5,4,1
3.77,Lower-tier,Business,Northeast,0,3,3,Large,Handshake,11,5,0,0,0
3.21,Top-tier,Arts,West,0,4,9,Medium,LinkedIn,4,32,2,1,1
3.28,Lower-tier,Business,Northeast,1,4,5,Large,Handshake,4,24,2,2,1
2.98,Lower-tier,Healthcare,South,1,3,2,Medium,Indeed,8,137,3,2,1
3.11,Lower-tier,Business,South,1,3,5,Small,Handshake,5,39,3,2,0
3.5,Mid-tier,Business,Midwest,1,3,4,Large,LinkedIn,10,58,2,1,1
3.92,Top-tier,Business,Midwest,1,4,3,Large,LinkedIn,5,36,0,0,0
3.7,Lower-tier,STEM,South,3,1,1,Large,Handshake,2,7,2,2,1
3.5,Lower-tier,STEM,South,0,2,1,Large,Indeed,3,66,0,0,0
3.47,Lower-tier,STEM,South,3,2,3,Medium,Indeed,3,70,1,0,0
3.12,Top-tier,Business,West,0,1,3,Large,Indeed,9,124,3,1,0
2.74,Lower-tier,Humanities,West,2,1,2,Medium,LinkedIn,5,31,2,1,1
3.33,Lower-tier,Business,West,2,1,1,Medium,LinkedIn,3,33,2,2,1
2.81,Lower-tier,Business,West,0,2,3,Large,LinkedIn,9,45,0,0,0
3.39,Lower-tier,STEM,South,1,1,2,Large,LinkedIn,3,34,2,0,0
3.76,Lower-tier,Humanities,Midwest,0,4,0,Large,LinkedIn,2,12,0,0,0
3.3,Mid-tier,Healthcare,Northeast,0,2,4,Large,Handshake,9,57,8,1,0
3.04,Top-tier,Business,West,1,1,2,Small,Indeed,3,36,2,1,1
3.85,Mid-tier,Humanities,Midwest,3,2,4,Small,Indeed,4,52,1,0,0
3.63,Top-tier,STEM,West,3,0,4,Large,LinkedIn,5,34,2,2,1
3.0,Mid-tier,Business,Midwest,1,4,3,Small,Handshake,8,50,3,2,0
3.65,Mid-tier,Humanities,Midwest,0,3,3,Large,Indeed,5,51,0,0,0
2.62,Top-tier,Healthcare,Midwest,2,3,2,Medium,LinkedIn,1,6,2,2,1
2.48,Mid-tier,Business,Midwest,3,1,4,Large,LinkedIn,1,11,0,0,0
3.3,Top-tier,Business,West,0,3,5,Small,LinkedIn,4,32,2,0,0
2.83,Lower-tier,STEM,Midwest,4,3,2,Medium,LinkedIn,11,64,2,2,1
3.16,Lower-tier,STEM,Midwest,3,3,5,Medium,LinkedIn,10,90,3,3,1
2.7,Top-tier,STEM,West,2,0,3,Small,LinkedIn,12,74,2,1,1
2.51,Lower-tier,Business,Northeast,1,1,6,Large,Indeed,5,132,1,1,0
2.56,Mid-tier,STEM,Northeast,1,2,3,Large,Handshake,5,38,5,1,0
3.61,Mid-tier,STEM,West,1,2,3,Medium,Handshake,1,5,2,2,1
2.54,Top-tier,STEM,Northeast,1,0,1,Large,LinkedIn,10,41,2,2,1
3.11,Mid-tier,STEM,West,0,0,2,Small,Indeed,12,58,0,0,0
3.22,Lower-tier,STEM,Northeast,1,5,4,Large,Handshake,1,7,0,0,0
3.53,Lower-tier,Humanities,West,0,2,5,Medium,Indeed,9,150,0,0,0
3.11,Top-tier,Healthcare,South,3,1,5,Medium,Handshake,10,51,3,3,1
2.99,Top-tier,Business,South,0,2,6,Medium,LinkedIn,9,87,4,2,0
2.89,Mid-tier,Humanities,South,1,0,1,Large,Indeed,12,34,0,0,0
2.85,Mid-tier,Business,Midwest,0,4,7,Medium,Indeed,10,91,0,0,0
2.89,Mid-tier,Business,Midwest,0,1,5,Medium,LinkedIn,10,63,0,0,0
3.66,Mid-tier,STEM,Northeast,2,4,7,Large,Indeed,4,52,3,1,1
2.89,Lower-tier,STEM,West,1,3,8,Large,Indeed,11,106,2,0,0
2.88,Lower-tier,STEM,West,2,1,4,Small,Handshake,9,51,3,2,1
2.89,Mid-tier,Business,Northeast,0,2,5,Large,LinkedIn,4,41,2,0,0
3.3,Lower-tier,STEM,Midwest,1,2,5,Medium,Indeed,3,12,2,2,1
3.27,Mid-tier,STEM,Midwest,1,2,3,Small,LinkedIn,5,60,1,0,0
4.0,Mid-tier,Healthcare,Midwest,2,2,2,Large,LinkedIn,7,38,0,0,0
3.27,Mid-tier,Arts,Midwest,2,0,2,Medium,Handshake,2,10,1,0,0
2.32,Mid-tier,STEM,Northeast,0,3,1,Large,Handshake,7,39,5,2,0
2.85,Lower-tier,STEM,Midwest,4,4,1,Medium,Handshake,8,25,2,1,0
3.4,Mid-tier,STEM,Midwest,2,1,5,Medium,Indeed,8,184,3,1,0
3.64,Mid-tier,Business,South,4,4,1,Large,Handshake,2,12,1,0,0
3.0,Mid-tier,Business,Northeast,2,2,3,Medium,LinkedIn,3,10,0,0,0
3.68,Top-tier,Business,South,0,0,1,Small,LinkedIn,5,30,2,1,1
2.93,Lower-tier,STEM,South,0,3,5,Small,Handshake,1,7,1,0,0
3.28,Mid-tier,Business,West,1,2,1,Large,LinkedIn,11,100,6,2,1
3.61,Mid-tier,STEM,Midwest,1,3,3,Medium,Handshake,10,75,7,0,0
3.27,Mid-tier,Humanities,South,2,1,3,Medium,Indeed,10,110,2,2,0
3.22,Mid-tier,STEM,Midwest,1,1,6,Small,Handshake,4,10,1,0,0
2.35,Top-tier,STEM,South,2,2,5,Medium,Handshake,1,8,0,0,0
3.05,Lower-tier,Business,South,2,3,3,Large,Handshake,12,48,2,1,1
2.98,Mid-tier,Business,Midwest,0,0,2,Medium,LinkedIn,6,68,2,2,0
3.62,Lower-tier,Business,West,1,0,7,Medium,LinkedIn,4,38,3,0,0
3.47,Lower-tier,Business,Northeast,4,2,2,Medium,Handshake,6,30,2,1,1
2.0,Lower-tier,Arts,South,0,5,2,Medium,Handshake,6,36,2,1,1
2.34,Mid-tier,Healthcare,Midwest,0,0,2,Large,Handshake,9,5,2,2,1
3.24,Mid-tier,Business,West,3,2,3,Small,Handshake,12,70,4,2,1
3.1,Top-tier,STEM,Northeast,1,1,3,Large,Handshake,10,51,3,1,0
3.01,Lower-tier,STEM,Northeast,1,1,1,Large,Indeed,3,44,1,0,0
3.44,Mid-tier,Business,Midwest,1,1,4,Large,LinkedIn,5,29,0,0,0
3.99,Mid-tier,Business,West,0,2,3,Large,LinkedIn,8,58,2,0,0
3.39,Mid-tier,Healthcare,West,1,4,2,Small,LinkedIn,11,188,2,1,1
3.4,Top-tier,Humanities,South,0,2,4,Small,LinkedIn,9,58,0,0,0
3.42,Mid-tier,Humanities,Midwest,2,0,2,Medium,Handshake,5,21,1,0,0
2.99,Top-tier,STEM,West,2,1,5,Medium,Indeed,1,5,2,2,1
3.44,Lower-tier,Business,West,1,3,5,Large,Indeed,5,100,2,1,0
2.0,Mid-tier,Business,West,0,2,3,Medium,LinkedIn,3,25,0,0,0
3.05,Top-tier,Healthcare,Northeast,0,2,5,Large,LinkedIn,3,18,1,1,0
3.02,Mid-tier,Healthcare,West,0,0,1,Medium,Indeed,5,59,0,0,0
3.33,Top-tier,Humanities,West,1,2,5,Medium,Handshake,9,70,3,1,1
2.82,Mid-tier,Business,Northeast,1,2,1,Small,LinkedIn,6,67,3,0,0
3.1,Lower-tier,Humanities,Midwest,2,3,2,Medium,Indeed,4,53,0,0,0
3.06,Top-tier,Humanities,Midwest,1,1,6,Small,LinkedIn,9,79,2,2,1
2.73,Lower-tier,Business,West,1,2,3,Medium,LinkedIn,10,98,4,4,1
2.66,Top-tier,Arts,Midwest,0,2,1,Medium,Handshake,8,54,4,1,0
3.44,Mid-tier,Business,Northeast,2,2,3,Small,Handshake,6,54,3,1,1
3.45,Lower-tier,STEM,Midwest,2,2,1,Medium,LinkedIn,3,23,2,2,1
3.65,Mid-tier,STEM,West,2,2,3,Large,LinkedIn,10,83,2,0,0
3.91,Top-tier,STEM,West,5,0,2,Small,Indeed,8,188,2,1,0
3.44,Mid-tier,Humanities,Northeast,0,1,1,Large,Handshake,4,14,0,0,0
3.26,Mid-tier,STEM,West,2,1,2,Large,LinkedIn,3,24,2,2,1
3.34,Lower-tier,STEM,Midwest,2,0,1,Medium,Indeed,12,282,11,4,1
3.06,Mid-tier,STEM,West,0,2,0,Large,LinkedIn,8,65,4,2,0
3.24,Lower-tier,Business,South,1,1,1,Large,Handshake,9,22,0,0,0
3.31,Lower-tier,STEM,West,2,2,6,Small,LinkedIn,6,59,3,2,0
3.1,Mid-tier,STEM,Northeast,0,0,1,Large,LinkedIn,10,66,4,3,1
3.13,Lower-tier,STEM,Northeast,1,1,5,Medium,Handshake,1,7,2,2,1
3.02,Mid-tier,Business,South,0,2,1,Large,LinkedIn,1,11,0,0,0
2.26,Lower-tier,Healthcare,West,1,3,2,Large,LinkedIn,11,84,3,0,0
2.74,Top-tier,Business,Northeast,0,1,4,Medium,Handshake,5,16,3,2,0
2.75,Lower-tier,Humanities,South,0,0,1,Medium,Handshake,1,5,0,0,0
3.22,Mid-tier,STEM,Northeast,2,2,2,Medium,LinkedIn,8,126,6,2,1
2.45,Mid-tier,Healthcare,Midwest,0,1,5,Large,Handshake,9,52,3,1,1
2.89,Mid-tier,Humanities,West,2,3,1,Medium,Indeed,6,61,1,0,0
3.11,Lower-tier,Healthcare,West,0,4,2,Large,Indeed,1,17,1,0,0
2.99,Top-tier,Healthcare,Northeast,3,1,0,Large,LinkedIn,10,111,2,1,0
2.33,Mid-tier,STEM,Midwest,1,4,2,Medium,Handshake,5,20,2,1,1
2.75,Lower-tier,Business,Midwest,2,2,6,Medium,LinkedIn,8,57,3,1,1
3.12,Lower-tier,Humanities,Midwest,3,1,3,Medium,Indeed,3,54,0,0,0
3.29,Lower-tier,Arts,South,1,0,7,Small,LinkedIn,12,110,13,5,0
2.79,Lower-tier,Healthcare,West,4,2,5,Large,Indeed,12,96,2,1,0
3.07,Lower-tier,Healthcare,West,1,1,8,Medium,Handshake,4,17,2,2,1
2.97,Lower-tier,Arts,West,0,1,2,Medium,Handshake,11,60,5,2,0
3.31,Mid-tier,Business,South,0,3,3,Large,LinkedIn,2,25,1,0,0
2.94,Top-tier,Business,South,1,2,5,Medium,LinkedIn,2,19,1,0,0
3.22,Lower-tier,Business,Northeast,2,4,5,Medium,Indeed,11,58,2,1,0
2.11,Mid-tier,Business,West,2,5,2,Medium,Indeed,3,37,2,1,1
2.92,Top-tier,STEM,West,3,4,4,Medium,LinkedIn,8,46,2,1,1
3.57,Mid-tier,Business,South,0,2,3,Medium,Indeed,10,246,0,0,0
3.18,Lower-tier,STEM,Midwest,0,2,2,Medium,Indeed,1,13,0,0,0
3.17,Mid-tier,Business,South,2,2,6,Large,LinkedIn,9,34,2,2,1
3.38,Mid-tier,Business,South,2,2,3,Medium,LinkedIn,11,56,1,1,0
2.94,Mid-tier,STEM,South,3,2,0,Medium,LinkedIn,2,8,0,0,0
3.56,Mid-tier,STEM,West,1,1,4,Medium,LinkedIn,8,38,3,1,0
3.14,Mid-tier,Healthcare,South,2,1,3,Large,Handshake,1,5,0,0,0
3.33,Mid-tier,Business,Midwest,0,3,2,Small,LinkedIn,3,15,1,1,0
3.45,Top-tier,STEM,South,2,4,4,Small,Handshake,10,38,2,1,1
3.1,Lower-tier,Healthcare,West,0,3,3,Large,LinkedIn,4,15,1,1,0
3.62,Mid-tier,STEM,Northeast,2,1,3,Medium,Handshake,2,13,2,1,0
3.25,Lower-tier,Healthcare,Northeast,2,0,2,Medium,Handshake,7,22,2,2,1
3.36,Lower-tier,Humanities,Midwest,1,0,2,Medium,Indeed,1,16,0,0,0
2.94,Mid-tier,STEM,West,4,2,5,Small,Indeed,12,92,1,1,0
2.94,Lower-tier,Arts,Midwest,2,4,3,Large,LinkedIn,1,6,1,0,0
3.36,Mid-tier,Business,Midwest,1,1,1,Medium,Handshake,1,5,1,1,0
2.73,Lower-tier,Humanities,West,2,1,2,Small,LinkedIn,3,22,2,1,1
3.42,Mid-tier,STEM,West,1,3,2,Medium,Handshake,5,46,2,1,1
3.17,Lower-tier,STEM,West,1,0,1,Medium,Handshake,2,11,2,2,1
3.12,Mid-tier,Business,South,3,4,2,Large,Indeed,7,66,1,0,0
3.03,Mid-tier,STEM,Northeast,1,1,2,Large,Handshake,5,27,0,0,0
3.04,Top-tier,Business,West,0,2,4,Medium,Handshake,6,36,2,1,0
2.57,Lower-tier,STEM,Midwest,0,1,2,Small,Indeed,7,114,1,0,0
2.85,Lower-tier,Business,West,4,0,1,Large,LinkedIn,2,9,1,0,0
3.29,Mid-tier,STEM,West,1,3,1,Large,LinkedIn,4,37,0,0,0
3.44,Mid-tier,STEM,West,1,0,4,Large,Handshake,9,30,4,1,0
3.34,Mid-tier,Business,South,1,3,2,Medium,LinkedIn,8,120,6,6,1
3.02,Lower-tier,Business,Midwest,0,1,3,Large,Handshake,7,10,2,2,1
3.28,Mid-tier,Business,West,0,2,3,Medium,LinkedIn,10,43,0,0,0
3.39,Lower-tier,STEM,Midwest,1,1,5,Medium,LinkedIn,9,5,1,0,0
3.1,Mid-tier,STEM,West,0,2,2,Medium,Indeed,1,12,2,2,1
3.12,Mid-tier,STEM,Northeast,1,6,4,Small,Handshake,9,45,3,1,1
3.39,Top-tier,Business,Midwest,0,1,4,Large,LinkedIn,9,64,2,1,0
3.34,Top-tier,Business,Midwest,0,2,2,Small,LinkedIn,7,77,3,1,0
3.61,Mid-tier,Humanities,Northeast,2,1,9,Small,LinkedIn,12,118,4,1,1
3.11,Mid-tier,STEM,West,1,0,3,Medium,Indeed,12,212,1,0,0
3.6,Lower-tier,STEM,West,0,0,1,Medium,Indeed,4,60,0,0,0
3.73,Top-tier,Humanities,Northeast,5,3,0,Small,Handshake,4,34,1,0,0
3.99,Mid-tier,Business,Midwest,2,3,5,Large,LinkedIn,2,6,2,1,1
3.81,Mid-tier,STEM,Northeast,2,2,2,Small,Indeed,11,12,0,0,0
2.86,Top-tier,Business,Northeast,2,0,3,Small,LinkedIn,11,80,3,1,0
3.46,Top-tier,Humanities,South,0,2,1,Small,LinkedIn,4,5,0,0,0
3.27,Mid-tier,STEM,South,1,3,0,Large,LinkedIn,5,50,2,1,0
3.1,Mid-tier,STEM,South,1,3,2,Small,Handshake,3,10,3,1,0
3.18,Mid-tier,Business,Northeast,1,1,1,Medium,LinkedIn,10,35,0,0,0
3.19,Mid-tier,STEM,Northeast,3,3,3,Medium,LinkedIn,6,68,3,1,1
3.51,Mid-tier,Healthcare,West,1,1,2,Large,Handshake,3,11,1,0,0
3.6,Top-tier,Business,Midwest,2,3,1,Small,LinkedIn,10,70,4,2,1
3.74,Mid-tier,STEM,Northeast,1,3,4,Medium,LinkedIn,6,7,2,0,0
3.58,Lower-tier,Business,Midwest,1,3,1,Medium,LinkedIn,10,36,2,2,1
3.07,Mid-tier,Business,Northeast,0,2,2,Large,LinkedIn,10,71,4,1,1
3.25,Lower-tier,Business,Midwest,0,0,4,Medium,LinkedIn,6,37,2,1,0
3.21,Mid-tier,Healthcare,West,1,2,2,Large,LinkedIn,9,76,4,2,0
3.4,Lower-tier,STEM,South,3,2,1,Small,Handshake,9,25,2,0,0
3.58,Lower-tier,Healthcare,West,2,2,3,Large,Indeed,5,41,0,0,0
3.92,Mid-tier,Humanities,Midwest,0,4,4,Medium,LinkedIn,5,36,1,1,0
3.73,Lower-tier,Humanities,West,2,4,0,Large,Handshake,12,70,4,2,0
3.33,Top-tier,STEM,West,1,2,2,Large,LinkedIn,10,96,2,2,1
2.99,Top-tier,Humanities,West,0,2,3,Medium,Indeed,4,49,0,0,0
3.01,Lower-tier,STEM,Northeast,0,3,3,Medium,Indeed,1,25,0,0,0
3.79,Lower-tier,Business,Northeast,0,1,3,Small,LinkedIn,2,13,0,0,0
3.29,Top-tier,STEM,Northeast,0,0,2,Large,Handshake,7,42,2,1,0
2.94,Mid-tier,STEM,South,3,0,1,Large,LinkedIn,9,88,2,1,1
3.42,Top-tier,STEM,Midwest,0,3,2,Medium,LinkedIn,11,77,7,3,0
3.26,Mid-tier,Arts,Northeast,0,5,2,Medium,Indeed,11,144,4,3,0
3.04,Lower-tier,Business,South,3,1,5,Large,LinkedIn,10,80,4,3,1
2.72,Mid-tier,Business,South,1,1,3,Large,LinkedIn,7,79,3,0,0
3.67,Mid-tier,Humanities,South,3,2,2,Small,LinkedIn,2,15,2,1,1
3.73,Mid-tier,Healthcare,Northeast,1,2,3,Medium,LinkedIn,11,38,1,0,0
3.25,Top-tier,STEM,South,0,1,1,Large,LinkedIn,8,78,4,1,0
3.66,Mid-tier,STEM,West,0,6,2,Large,LinkedIn,1,5,0,0,0
3.22,Mid-tier,Humanities,West,2,2,3,Small,Indeed,6,50,3,2,1
3.18,Lower-tier,STEM,South,0,3,2,Large,Indeed,6,61,2,1,0
2.84,Lower-tier,Business,South,1,0,2,Medium,LinkedIn,8,66,2,0,0
3.37,Top-tier,Healthcare,West,1,1,4,Small,LinkedIn,11,58,2,1,1
2.93,Lower-tier,Humanities,West,1,2,4,Medium,Handshake,12,68,6,0,0
2.85,Lower-tier,STEM,South,1,2,2,Large,Handshake,5,5,2,2,1
3.4,Lower-tier,STEM,Northeast,2,1,5,Small,LinkedIn,5,44,0,0,0
3.15,Mid-tier,STEM,Northeast,2,2,5,Medium,Indeed,12,184,0,0,0
2.88,Mid-tier,Arts,Northeast,0,5,6,Medium,Indeed,9,135,5,2,0
2.57,Mid-tier,STEM,South,1,3,3,Small,Handshake,10,31,1,0,0
3.8,Top-tier,Humanities,South,1,4,3,Small,LinkedIn,8,73,3,3,1
3.46,Mid-tier,Humanities,Midwest,1,1,1,Medium,Indeed,4,48,0,0,0
2.73,Mid-tier,Healthcare,West,2,0,2,Large,Handshake,4,18,0,0,0
2.95,Mid-tier,STEM,West,1,2,2,Medium,Indeed,3,29,2,1,1
3.31,Lower-tier,STEM,Midwest,1,5,3,Large,Indeed,10,213,2,0,0
3.07,Mid-tier,Humanities,Northeast,1,1,3,Small,Indeed,3,49,1,1,0
3.2,Top-tier,Humanities,Northeast,3,3,6,Medium,LinkedIn,8,70,3,2,1
3.95,Lower-tier,Healthcare,South,0,2,5,Medium,Handshake,3,17,2,1,1
3.75,Lower-tier,Humanities,South,2,2,4,Large,LinkedIn,11,51,1,0,0
2.85,Lower-tier,Humanities,South,1,2,2,Small,Handshake,1,5,1,0,0
3.08,Lower-tier,Healthcare,Northeast,2,3,0,Small,Handshake,11,77,2,1,1
2.93,Mid-tier,Business,Midwest,1,0,2,Large,Handshake,11,56,3,0,0
3.62,Lower-tier,Business,Midwest,2,4,4,Medium,Handshake,10,55,3,3,1
2.88,Top-tier,Humanities,West,1,1,1,Large,LinkedIn,9,112,7,1,0
2.8,Mid-tier,STEM,South,2,2,5,Small,Handshake,2,20,3,2,0
3.34,Mid-tier,Healthcare,Midwest,1,1,8,Large,Indeed,3,26,0,0,0
3.0,Mid-tier,Business,Midwest,1,2,1,Medium,Handshake,5,17,0,0,0
3.36,Top-tier,STEM,West,1,4,2,Large,LinkedIn,4,8,2,2,1
3.03,Mid-tier,Arts,West,3,1,4,Medium,Handshake,6,39,3,1,0
3.44,Lower-tier,STEM,Midwest,0,2,1,Small,LinkedIn,9,78,2,0,0
3.27,Mid-tier,Business,Northeast,0,0,2,Medium,LinkedIn,12,142,3,2,0
3.09,Top-tier,Business,Midwest,2,3,4,Large,Handshake,4,22,3,1,0
3.24,Lower-tier,STEM,Midwest,4,0,4,Medium,Indeed,7,78,0,0,0
3.71,Mid-tier,Business,Northeast,1,1,2,Large,Indeed,7,116,5,2,1
3.13,Mid-tier,STEM,Midwest,0,4,4,Medium,Indeed,8,38,1,0,0
3.69,Lower-tier,Business,Midwest,1,3,2,Small,LinkedIn,5,40,3,1,0
2.91,Mid-tier,Business,Midwest,0,6,5,Medium,LinkedIn,5,44,1,0,0
2.67,Mid-tier,Healthcare,Northeast,2,1,4,Medium,Indeed,5,45,2,2,1
2.82,Lower-tier,Business,Midwest,2,0,2,Large,Handshake,8,41,3,3,1
3.61,Mid-tier,Arts,Midwest,0,4,0,Small,Indeed,2,40,1,0,0
3.48,Mid-tier,Business,Northeast,3,1,3,Large,Indeed,6,94,3,1,0
2.67,Lower-tier,Business,South,0,1,1,Large,LinkedIn,9,12,1,1,0
3.43,Lower-tier,STEM,Midwest,2,0,5,Large,Indeed,12,200,1,0,0
3.06,Top-tier,Humanities,Northeast,0,0,4,Medium,LinkedIn,8,52,1,1,0
3.47,Top-tier,Healthcare,South,2,4,4,Small,LinkedIn,11,111,3,2,1
2.78,Top-tier,Healthcare,Northeast,4,3,6,Medium,LinkedIn,3,14,2,1,1
3.26,Mid-tier,Humanities,Midwest,0,1,1,Medium,LinkedIn,3,15,1,0,0
2.94,Mid-tier,STEM,South,2,1,2,Medium,Indeed,3,69,0,0,0
3.55,Top-tier,Business,Northeast,0,4,1,Large,LinkedIn,11,119,2,1,0
2.7,Lower-tier,STEM,South,1,2,0,Medium,Handshake,7,5,1,0,0
3.42,Mid-tier,Arts,South,3,2,3,Small,Handshake,6,21,0,0,0
3.49,Mid-tier,Business,West,1,1,2,Medium,LinkedIn,3,36,2,1,1
3.17,Mid-tier,STEM,South,0,4,7,Large,Indeed,7,99,3,1,1
3.03,Lower-tier,Business,South,0,0,4,Large,LinkedIn,1,10,1,0,0
2.68,Top-tier,Humanities,Northeast,1,2,4,Large,Indeed,9,171,3,0,0
3.37,Mid-tier,Business,South,0,2,2,Medium,LinkedIn,6,45,2,1,0
3.63,Lower-tier,Business,South,3,2,2,Large,Handshake,1,9,1,0,0
3.57,Mid-tier,STEM,Midwest,0,1,5,Small,Handshake,2,14,2,1,1
2.8,Mid-tier,STEM,West,3,1,2,Large,Indeed,3,43,2,1,1
2.75,Mid-tier,Business,Midwest,1,2,1,Medium,LinkedIn,11,91,5,1,1
3.22,Top-tier,Business,West,0,2,2,Medium,LinkedIn,11,135,6,6,1
2.07,Mid-tier,STEM,South,2,3,1,Large,Handshake,7,14,1,0,0
3.22,Mid-tier,STEM,South,3,6,2,Medium,Handshake,7,40,3,2,0
2.91,Mid-tier,Healthcare,South,1,3,3,Large,Indeed,2,27,2,2,1
3.23,Top-tier,Arts,Northeast,3,4,4,Large,LinkedIn,5,65,2,1,1
2.82,Lower-tier,Humanities,Midwest,2,5,1,Medium,Handshake,11,49,3,1,1
2.98,Lower-tier,Humanities,Midwest,1,2,7,Large,LinkedIn,10,30,3,1,0
3.36,Lower-tier,STEM,Midwest,2,2,6,Medium,LinkedIn,2,9,1,0,0
3.19,Lower-tier,STEM,West,2,2,3,Large,LinkedIn,9,48,2,1,1
3.26,Mid-tier,STEM,Northeast,0,1,3,Medium,Handshake,2,15,3,1,0
2.98,Lower-tier,Humanities,West,0,3,2,Small,Handshake,3,22,1,1,0
3.41,Mid-tier,Business,Northeast,2,5,2,Large,Indeed,12,56,2,1,1
3.08,Lower-tier,Humanities,Midwest,1,1,1,Medium,LinkedIn,2,22,1,0,0
2.87,Lower-tier,Business,Midwest,1,2,4,Medium,Handshake,8,8,2,0,0
3.03,Lower-tier,Business,Northeast,1,2,6,Large,LinkedIn,6,61,0,0,0
3.4,Lower-tier,STEM,Northeast,2,0,1,Small,Handshake,1,5,0,0,0
3.65,Mid-tier,Business,Midwest,2,2,1,Medium,LinkedIn,10,23,2,1,1
3.01,Mid-tier,Business,Midwest,1,1,6,Medium,Indeed,4,66,0,0,0
3.78,Mid-tier,Business,Northeast,2,1,5,Medium,LinkedIn,5,73,4,4,1
2.46,Mid-tier,Business,West,0,0,3,Large,LinkedIn,10,78,2,0,0
3.95,Top-tier,STEM,South,0,3,0,Large,Handshake,6,5,2,2,1
3.91,Mid-tier,STEM,South,2,2,3,Medium,Handshake,2,10,1,0,0
2.9,Lower-tier,STEM,Midwest,2,2,3,Large,LinkedIn,12,74,2,1,1
3.55,Mid-tier,Business,West,1,3,5,Medium,Indeed,6,75,1,0,0
3.8,Lower-tier,Healthcare,Midwest,1,1,2,Medium,LinkedIn,7,52,3,1,0
3.4,Lower-tier,Business,West,3,6,1,Medium,LinkedIn,7,89,4,1,0
3.94,Lower-tier,Healthcare,Northeast,1,2,5,Medium,Handshake,4,13,2,2,1
3.3,Lower-tier,STEM,South,2,3,2,Medium,Indeed,9,67,3,2,1
2.27,Mid-tier,STEM,West,2,2,1,Medium,Handshake,7,50,2,1,1
2.91,Lower-tier,Healthcare,West,0,1,3,Large,LinkedIn,10,86,3,2,0
2.69,Lower-tier,Business,Midwest,1,3,2,Large,LinkedIn,7,24,2,1,1
3.57,Mid-tier,STEM,Midwest,0,0,1,Medium,Indeed,7,89,0,0,0
3.14,Mid-tier,STEM,Northeast,1,1,2,Medium,Indeed,9,204,1,0,0
3.04,Lower-tier,Business,Midwest,0,1,4,Large,LinkedIn,11,12,2,1,0
3.03,Mid-tier,Business,South,2,1,2,Small,Handshake,7,36,2,2,1
2.78,Mid-tier,Humanities,South,2,2,4,Large,LinkedIn,8,66,4,1,1
2.83,Lower-tier,STEM,Northeast,2,5,5,Medium,LinkedIn,5,50,1,0,0
3.13,Mid-tier,STEM,Northeast,0,0,5,Medium,Handshake,7,30,1,0,0
3.87,Mid-tier,Humanities,South,0,3,2,Medium,Indeed,11,231,0,0,0
3.56,Lower-tier,Humanities,South,1,3,3,Small,Indeed,5,18,2,2,1
3.12,Mid-tier,STEM,Midwest,0,5,3,Large,LinkedIn,12,106,5,1,0
3.17,Top-tier,Healthcare,South,2,1,6,Large,Indeed,4,60,0,0,0
2.86,Top-tier,STEM,Northeast,1,3,2,Medium,LinkedIn,3,30,3,0,0
